gene_ID,Log2FC,padj
TLR21,2.944833997,2.70E-14
LOC107050454,2.944101105,0.004594631
SUSD1,2.942332517,1.16E-07
AKR1D1,2.941026817,3.29E-06
ACAP1L,2.940889002,1.69E-09
RUFY4,2.932838935,2.71E-11
MYO1G,2.928978027,7.25E-12
LRRC17,2.928271252,1.17E-10
FES,2.921038949,4.85E-15
CD244,2.9203209,1.25E-10
CIITA,2.919833009,9.44E-11
BLEC1,2.910050718,6.92E-08
LOC101752071,2.908422261,1.30E-12
LOC107055004,2.903330646,2.86E-07
IGFBP2,2.902229677,4.88E-15
PNAT3,2.90220935,7.99E-11
MYLKSML,2.900393987,0.000546895
C26H1orf116,2.898303098,4.76E-08
LOC112532928,2.893072659,0.007826021
LOC101748913,2.891940662,0.000393841
LOC107052991,2.891480437,0.009067555
RPH3A,2.887390563,0.000190651
SSTR3,2.886450363,5.83E-05
LOC107050532,2.885982162,0.00036478
WNT4,2.883901167,3.18E-07
CCDC125,2.881938758,4.77E-08
LOC107054323,2.877768924,0.008910446
RGS18,2.877408847,2.47E-10
LOC107053481,2.875561878,0.031003134
GALNT3,2.872815656,7.02E-34
ADAMTS18,2.872412611,2.51E-05
P2RX1,2.867883678,1.76E-06
SLC9A2,2.867715965,2.64E-07
MOB3B,2.866224107,3.14E-07
ARL4C,2.866063801,5.35E-11
LOC107050509,2.86191701,0.003289665
PDCD1LG2,2.860927093,2.61E-24
PLD4,2.859372101,1.06E-05
SH3TC2,2.857987809,5.51E-10
HAVCR1,2.857970278,1.04E-17
MIR6621,2.854256069,0.010006451
ST6GALNAC2L,2.849340963,1.85E-12
ATP8A1,2.847208335,7.99E-11
ALOX5,2.846680466,5.90E-14
MYB,2.845716391,3.68E-07
KIF5C,2.844991949,9.58E-17
LOC771880,2.844090459,0.014664938
FAM26F,2.843316824,7.07E-06
SUSD3,2.840365625,5.98E-13
LOC107050724,2.836832851,7.74E-14
VAV3,2.833065494,1.94E-19
DPP4,2.831771471,8.08E-11
C1QC,2.830047799,3.45E-10
IQGAP2,2.827964429,5.96E-10
43891,2.827754462,9.72E-10
EPHA3,2.8273594,7.92E-08
MPEG1,2.82663064,8.34E-19
LOC107054407,2.820072263,0.008053761
UGT8L,2.819960606,7.02E-05
LMNB1,2.819466608,7.15E-19
RDH7L,2.813482854,3.20E-06
AGTPBP1,2.812644285,5.51E-17
GYS2,2.808663305,0.003443348
VTG1,2.808440414,0.034160279
P2RY8,2.807262584,1.15E-13
LILRB5L2,2.805320238,0.006574423
