,baseMean,log2FC,log2FC_shrunken,lfcSE_shrunken,stat,pvalue,padj
CPLX3,10.84912939,0.231830192,4.73E-07,0.001442692,0.32506649,0.74513075,0.999928958
CPM,91.84517834,-0.179899568,-1.13E-06,0.001442686,-0.447588249,0.654450385,0.999928958
CPN1,119.104643,0.159633276,6.76E-07,0.001442689,0.320941788,0.748254506,0.999928958
CPNE1,1614.981568,-0.06187074,-2.03E-06,0.001442648,-0.348419182,0.727525399,0.999928958
CPNE2,586.6823723,0.161583304,6.29E-06,0.001442646,0.987146852,0.323570652,0.999928958
CPNE3,497.3862337,0.081351127,2.10E-06,0.001442659,0.4043727,0.685938672,0.999928958
CPNE4,44.52460597,-0.177204968,-1.14E-06,0.001442686,-0.445498812,0.655959318,0.999928958
CPNE7,7.403145947,0.273629389,2.89E-07,0.001442694,0.275591296,0.782861996,0.999928958
CPNE8,355.7687468,-0.016157129,-3.08E-07,0.001442667,-0.070177242,0.944052588,0.999928958
CPNE9,31.94364617,-0.252368215,-1.11E-06,0.001442689,-0.521261764,0.602184433,0.999928958
CPOX,865.3013275,-0.294295592,-1.11E-05,0.001442662,-1.77568842,0.075784287,0.999928958
CPPED1,1173.472438,0.012157745,3.74E-07,0.001442652,0.065108452,0.948087651,0.999928958
CPQ,277.3445332,-0.05190881,-4.27E-07,0.001442683,-0.147353598,0.882852929,0.999928958
CPS1,51.15815446,0.309366706,2.24E-06,0.001442686,0.812802732,0.416331169,0.999928958
CPSF1,1356.150829,-0.024644146,-4.97E-07,0.001442664,-0.111662429,0.91109107,0.999928958
CPSF2,2057.026112,0.013377125,7.51E-07,0.001442615,0.097468987,0.922353962,0.999928958
CPSF3,2763.24349,-0.010061885,-1.11E-05,0.001442614,-0.083110869,0.933763383,0.999928958
CPSF4,2052.780312,-0.232743584,-5.39E-06,0.001442667,-1.100538783,0.271097441,0.999928958
CPSF6,5504.358735,0.035468164,1.33E-06,0.001442642,0.211983869,0.832119619,0.999928958
CPSF7,272.1113311,0.202908739,3.86E-06,0.00144267,0.866026703,0.386475518,0.999928958
CPT1A,799.1535793,0.550941877,1.04E-05,0.001442687,2.35288145,0.018628572,0.739178417
CPT2,1288.915849,-0.020598207,-1.23E-06,0.001442608,-0.156922084,0.875306255,0.999928958
CPTP,419.0085604,-0.073653084,-2.92E-06,0.001442639,-0.454847271,0.64921912,0.999928958
CPXM1,719.9979901,-0.016085112,-7.60E-07,0.001442626,-0.109109501,0.913115639,0.999928958
CPXM2,23.10071643,-2.023902804,-1.62E-06,0.001442695,-1.884103757,0.059550942,0.999928958
CPZ,1796.424505,-0.126904497,-3.15E-06,0.001442661,-0.620704043,0.534794369,0.999928958
CR1,629.2804544,0.208800451,3.23E-06,0.001442675,0.803953911,0.421423593,0.999928958
CRABP1,2004.959043,0.298519072,3.00E-07,0.001442694,0.287828336,NA,NA
CRABP2,12355.16605,-0.205422068,-3.74E-06,0.001442671,-0.862154783,0.388602348,0.999928958
CRACD,98.9355534,0.104676006,1.46E-06,0.001442675,0.381435466,0.702880148,0.999928958
CRACDL,10.26224481,-1.343511402,-2.30E-06,0.001442693,-1.831920083,0.066963328,0.999928958
CRADD,236.3760101,-0.46159413,-1.51E-05,0.001442688,-2.590484476,0.009584094,0.56996285
CRAMP1,468.9160702,0.043719091,9.26E-07,0.001442665,0.196208859,0.844446694,0.999928958
CRAT,385.8969576,-0.012309363,-1.67E-07,0.001442674,-0.045748896,0.963510391,0.999928958
CRB1,129.1410984,-1.891491772,-6.84E-06,0.001442699,-3.732152632,0.00018985,0.08097647
CRB2,493.1505069,-0.074614846,-6.43E-07,0.001442683,-0.214275326,0.830332358,0.999928958
CRBN,786.454989,0.09256963,2.22E-06,0.001442661,0.443227312,0.657601326,0.999928958
CRCBL,8.337197204,0.28206309,2.69E-07,0.001442694,0.267045332,0.789434258,0.999928958
CRCP,1004.593711,0.058285705,3.91E-06,0.001442601,0.467695644,0.640002257,0.999928958
CREB1,1975.446737,0.283856617,6.77E-06,0.001442669,1.359085879,0.174119377,0.999928958
CREB3L1,735.8450929,-0.150887585,-2.14E-06,0.001442675,-0.557592646,0.577122579,0.999928958
CREB3L2,1785.417876,0.138026948,2.66E-06,0.001442669,0.592643683,0.553419638,0.999928958
CREB3L3,25.22411396,-0.615850858,-9.78E-07,0.001442693,-0.769158576,0.441799178,0.999928958
CREB3L4,1039.227232,0.035846103,9.51E-07,0.001442657,0.179915089,0.85721923,0.999928958
CREB5,239.2901033,-0.094184756,-4.72E-07,0.001442688,-0.208326521,0.834974025,0.999928958
CREBBP,2190.880521,0.233416438,2.88E-06,0.001442679,0.803070354,0.421934072,0.999928958
