gene,Exp_1,Free_1,Free_2,Exp_2,Pygo_1,Exp_3,Exp_4,Free_3,Pygo_2,Free_4,Pygo_3,Pygo_4
ETF1,2783,2039,2394,4012,2069,2908,2354,2239,3352,2369,3019,2578
ETFA,2628,983,1260,1350,1048,1036,980,1218,1516,1475,1655,1521
ETFDH,2181,950,868,1484,760,935,803,644,1036,782,1066,844
ETFRF1,86,42,61,69,25,33,69,30,54,73,108,57
ETNK1,30447,5154,6163,12164,2295,6937,5959,4714,3822,4378,5208,6360
ETNK2,23,74,88,53,63,20,38,90,63,80,44,34
ETNPPL,2417,411,117,112,208,58,53,120,192,229,191,91
ETS1,4356,6568,9240,8225,5851,5957,5529,8924,9375,11624,8519,8216
ETS2,2605,2240,3200,1618,1154,1530,1426,1604,1320,2635,1700,1747
ETV1,1523,876,2297,2290,332,1240,1509,1226,586,1323,733,659
ETV3,1804,1468,3295,2687,1415,1513,1646,2332,2523,3642,2568,2401
ETV3L,2,0,4,4,0,10,2,2,0,2,0,0
ETV4,103,304,399,241,113,84,94,366,158,330,158,104
ETV5,371,399,666,315,274,186,218,487,479,478,347,282
ETV6,7465,13818,15695,13773,6803,8741,7829,9704,12244,12571,10982,11181
ETV7,26,38,88,98,133,70,91,69,193,10,167,81
EVA1B,597,594,881,548,467,479,353,704,802,665,508,395
EVA1C,342,493,457,447,284,327,228,385,314,514,343,284
EVA1CL,27,84,149,46,23,26,17,68,47,148,34,20
EVC,1331,1055,1463,655,372,552,526,913,471,1060,617,619
EVC2,1524,1041,1779,825,452,699,536,982,531,1692,710,961
EVI2A,298,289,368,558,232,390,270,150,356,272,441,198
EVI5,3947,4039,5350,4600,1933,3430,3113,3256,2872,4714,3936,3709
EVI5L,1383,1290,1995,1615,1498,986,937,1695,2498,1608,1806,976
