"ENTREZID","gene_label","Avg_LogFC","Avg_Padj","N_Records","Direction"
"768950","CD88",1.36493670945341,0.307584377004055,1,"NoChange"
"100858585","OTX1",1.36434293558041,0.307848185540651,1,"NoChange"
"422214","LOC422214",-1.36394302714313,0.308038018541745,1,"NoChange"
"427243","PIP5K1B",1.36370744057921,0.308135587599654,1,"NoChange"
"421343","RAB3GAP2",1.36338973567951,0.308244525739836,1,"NoChange"
"417087","GARNL3",1.36328214602716,0.308270192595396,1,"NoChange"
"430492","TDRD7",1.36275091180748,0.308534044663519,1,"NoChange"
"423501","NUDT14",-1.36223484015681,0.308789521121045,1,"NoChange"
"396001","RPS4Y1",-1.36196218794923,0.308908109902163,1,"NoChange"
"419469","UBR4",1.36187800595386,0.308920632469092,1,"NoChange"
"415784","UBA2",1.3615605304813,0.309064490892248,1,"NoChange"
"419504","C1QA",-1.36107656421077,0.309232403405016,1,"NoChange"
"395506","HDAC3",1.36100486187928,0.309237910684641,1,"NoChange"
"426820","LOC426820",-1.3607386155365,0.309353003461024,1,"NoChange"
"100859903","HYAL3",-1.36049494897776,0.309455401209279,1,"NoChange"
"423166","C11orf74",-1.3602936406798,0.309533948895438,1,"NoChange"
"423727","POLR3A",1.36005822053492,0.309631737854297,1,"NoChange"
"107057310","LOC107057310",1.35989980858406,0.309686132095552,1,"NoChange"
"121108934","LOC121108934",1.35930596806449,0.309986101321334,1,"NoChange"
"100858513","PTPN23",-1.35878125255915,0.310212294769139,1,"NoChange"
"428078","USP12",1.35838024860927,0.310368745094584,1,"NoChange"
"768898","DDX21",1.35822574459104,0.310421016694327,1,"NoChange"
"770263","SLC10A4",1.35801653208794,0.310504189898199,1,"NoChange"
"417275","POLE3",1.35794391285159,0.310510231801663,1,"NoChange"
"374169","CACNA1B",-1.35784721727744,0.310529873167189,1,"NoChange"
"416597","NDE1",1.35667616857647,0.311156707251403,1,"NoChange"
"418933","RPL21",-1.35652806179208,0.311205444143983,1,"NoChange"
"422545","CFAP97",1.35534002588376,0.311807771285182,1,"NoChange"
"107055627","PWP2",1.35517747206799,0.311839762063963,1,"NoChange"
"124417087","GPR55",1.35515964038335,0.311839762063963,1,"NoChange"
"428460","STAC",1.3549132371898,0.311933204607067,1,"NoChange"
"416610","TMC7",1.35479844865415,0.31193909848013,1,"NoChange"
"418042","MFNG",-1.3544382930989,0.312108072729722,1,"NoChange"
"423367","TTLL5",1.35408728382207,0.312271923198055,1,"NoChange"
"420594","BZW2",1.35382147419989,0.312387514423903,1,"NoChange"
"420772","PSMA2",1.35368659344794,0.312428876252815,1,"NoChange"
"421597","HIPK3",-1.35349815032753,0.312500621728703,1,"NoChange"
"424020","COPS8",1.35318467827805,0.312609385936838,1,"NoChange"
"418676","SLC9A7",-1.35318253386599,0.312609385936838,1,"NoChange"
"404746","ST6GALNAC3",-1.35292509659869,0.312720308012682,1,"NoChange"
"107050335","LOC107050335",-1.35267242806974,0.312806835512307,1,"NoChange"
"423001","LUZP2",-1.35264875405945,0.312806835512307,1,"NoChange"
"417569","SLC46A1",1.35258546660736,0.312807607278348,1,"NoChange"
"426623","RFXANK",-1.35246158800905,0.312842768447189,1,"NoChange"
"396409","PTPN2",1.35175963484418,0.313193800005295,1,"NoChange"
"101752218","ARPC5L",1.35171946441106,0.313193800005295,1,"NoChange"
"426644","ERMP1",1.351622145566,0.313213902264309,1,"NoChange"
"421287","PPP1R21",1.35124794777798,0.313391305112569,1,"NoChange"
"420633","JAZF1",1.35095763564166,0.313485898888801,1,"NoChange"
"107049508","BIN3",-1.35083808679476,0.313506626554361,1,"NoChange"
