ENTREZ_ID,GENE_SYM
100859211,USP40
100859215,CCNT1
100859218,NA
100859223,MUC13
100859224,GPR62
100859230,NA
100859234,TMPRSS5
100859235,TMEM252
100859241,RAD23A
100859249,NA
100859250,FRMPD1
100859261,SUMF1
100859263,SGCA
100859265,ZBTB20
100859272,WFDC2
100859273,NA
100859276,NA
100859277,CYP4F11
100859279,FEZF1
100859280,SLITRK5
100859290,EPN3
100859291,SHISA4
100859299,MFRP
100859308,SPAG8
100859314,SMIM45
100859315,SPTSSBL
100859316,ATP2C2
100859318,RAB37
100859319,CD48
100859320,NDUFA13
100859322,TAAR2
100859325,PLXNB3
100859328,CTXN3
100859329,NA
100859332,PPIL1
100859336,C11orf94
100859339,NPR2
100859343,ZNF740
100859347,AHR1B
100859351,PRICKLE4
100859352,TIMM13
100859356,G6PC3
100859365,VEPH1
100859367,EXTL1
100859369,FFAR2L
100859371,PRG4
100859373,PLEKHG4
100859376,PFDN5
100859381,NA
100859387,TMEM101
100859394,METTL23
100859395,GJA9
100859397,TRIOBP
100859400,GPR158
100859406,ANKK1
100859407,GBA2
100859412,KDM3B
100859413,UBE2U
100859414,IFNA3
100859427,NA
100859431,AEBP1
100859434,THNSL1
100859435,EN2
100859439,SDCBP2
100859440,C1orf167
100859441,CERS2
100859444,GPATCH4
100859449,NA
100859467,NA
100859468,NA
100859489,CEP126
100859495,CTXN2
100859497,ZNF606
100859500,NA
100859517,NRGN
100859519,NR2F1
100859531,NA
100859541,SYCE2
100859545,KCNK9
100859549,NA
100859555,AP2S1
100859557,NCAPG2
100859568,FAAH2
100859572,MCHR1
100859573,HM13
100859583,P4HTM
100859586,NA
100859595,RBM15
100859598,OR4S2
100859599,RHOG
100859600,C3orf33
100859602,NA
100859605,MPZ
100859609,SRSF7
100859610,CREB3L1
100859612,EMID1
100859616,NA
100859627,HNRNPA3
100859628,MHCYL
100859629,H3-3A
100859632,PGAP2
100859633,DISC1
100859641,SDHC
100859645,GSTA3
100859647,CCDC96
100859653,PFKFB4
100859655,PITPNC1
100859657,NA
100859661,AAAS
100859666,C2orf50
100859674,PCBP4
100859676,LMAN2
100859681,CFAP126
100859690,NA
100859693,DLGAP1
100859699,TMEM72
100859701,RSPH10B
100859704,HCN3
100859707,IL2RB
100859719,RFC5
100859720,SDHB
100859721,APOC3
100859722,NA
100859723,PI4KB
100859726,NA
100859733,CIDEC
100859737,TUBA1B
100859740,NA
100859742,CD24
100859744,RASGEF1B
100859747,PITPNA
100859748,SIGMAR1
100859749,SLC25A51
100859756,NA
100859759,POLA2
100859761,NFXL1
100859762,TIMM9
100859766,PLAGL2
100859784,LYPD1
100859787,AMER3
100859789,PPCS
100859790,NA
100859792,UBTF
100859796,OR52L1
100859797,ACKR4
100859798,FAM134B
100859804,ADAM32L1
100859805,RAB44
100859813,KIF26B
100859816,SETDB1
100859817,SWT1
100859819,CARTL
100859821,VSTM5
100859826,ACTR10L
100859827,TSC22D2
100859828,TBC1D24
100859829,ZNF362
100859835,CSRNP2
100859837,NA
100859840,CYBA
100859842,LAMTOR2
100859845,ATG101
100859846,PGPEP1L
100859848,NA
100859849,FAM63A
100859850,NA
100859858,SMIM18
100859859,RNF212
100859860,EHD4
100859870,NA
100859876,ALPI
100859879,VPS37D
100859886,SEH1L
100859891,GPR153
100859892,SEMA6C
100859900,C1orf53
100859902,WWTR1
100859903,HYAL3
100859904,SMIM10L1
100859906,NA
100859914,RPL36A
100861562,5S_rRNA
100861584,SLC6A8
100873157,TGFB1
100873158,NAB2
100996929,MYL6
101410532,SELENOM
101747236,TLDC2
101747264,NA
101747275,KLHL35
101747284,C4ORF19
101747287,TMEM98
101747310,NA
101747314,NKX3-1
101747315,S100A4
101747319,STMND1
101747322,WT1
101747338,NA
101747341,CCDC152
101747367,NA
101747373,NA
101747382,NA
101747406,PPP1R3A
101747413,EIF3G
101747429,PROB1
101747443,NA
101747452,NA
101747453,GPRC5B
101747454,BLB2
101747461,TCTEX1D4
101747480,MAP10
101747493,GPR6
101747503,TAS2R4
101747507,NA
101747521,FAM187A
101747528,ILVBL
101747534,TRIM39.1
101747586,OMD
101747587,UBB
101747595,OIP5-AS1
101747625,NA
101747634,SMARCC2
101747646,MEX3A
101747651,RASAL3
101747660,NA
101747682,SETMAR
101747696,CRIP1
101747697,LRRTM2
101747705,MCIDAS
101747728,RBBP8NL
101747731,EDMPN2
101747741,ATP7A
101747752,RNF180
101747763,GTSF2
101747767,C15orf61
101747779,BAZ2A
101747801,IKZF4
101747811,APLN
101747820,NA
101747821,NA
101747831,AKNAD1
101747832,CPNE9
101747844,NA
101747858,C9orf84
101747860,NA
101747868,NA
101747873,NA
101747888,MTA2
101747893,OSBP
101747901,YLEC8
101747902,TTC24
101747936,HDHD3
101747939,PEBP4
101747944,NA
101747962,PMVK
101748009,GPR148
101748017,SV2A
101748025,RPUSD3
101748032,NA
101748037,DGKA
101748060,NA
101748079,NXF1
101748084,NA
101748085,STIP1
101748108,CXorf65
101748111,TMEM233
101748150,NUDT8
101748153,NA
101748182,NA
101748192,NA
101748203,NA
101748212,PRPH
101748229,NFILZ
101748248,PCLAF
101748254,NA
101748258,HPDL
101748292,ZC3H4
101748297,SOWAHB
101748316,FMR1NB
101748321,MYO9A
101748322,GRAMD2
101748326,C21orf140
101748328,NA
101748332,CD164L2
101748339,NA
101748342,FAM196A
101748344,NA
101748352,NA
101748353,NA
101748386,KCNE1
101748402,NEB
101748417,SBK3
101748418,EXPH5
101748423,SYT7
101748426,TSSK6
101748429,TRIM32
101748451,NA
101748456,NA
101748457,NA
101748459,TBCB
101748468,MEI4
101748485,VWCE
101748488,FAM109A
101748499,MHCY2B1
101748527,CLNK
101748529,C19orf24
101748538,NA
101748539,NA
101748543,NA
101748553,NA
101748577,KROX20
101748596,NPPC
101748614,RAB39A
101748630,NA
101748640,ITGAD
101748650,THRSPB
101748653,C2orf71
101748661,NA
101748694,NA
101748706,RECQL4
101748744,NA
101748745,FAM180B
101748748,PLEKHM3
101748749,ZNF469
101748750,KIF28P
101748755,CPNE5
101748756,RYR1
101748764,NPW
101748775,NA
101748788,SLC26A1
101748816,TMPRSS11D
101748842,PARD6A
101748848,NA
101748852,CCDC97
101748865,QRICH2
101748881,DAPK3
101748924,PIGO
101748931,GDF15
101748948,NMNAT1
101748950,SHANK3
101748953,NA
101748971,PIGY
101748977,KLHL12
101748987,FCHO1
101748994,TRMT61B
101749023,LNX2
101749031,TIGD5
101749042,ATP5L
101749071,PROX2
101749079,ASPDH
101749090,NA
101749097,SCAMP3
101749098,ITGA7
101749102,RIPPLY3
101749107,C11orf63
101749130,IER3IP1
101749138,NA
101749160,OMP
101749169,FBXL22
101749175,NA
101749182,TAS2R40
101749201,NA
101749214,REELD1
101749216,NA
101749217,P2RX2
101749218,ASB11
101749221,IL12RB1
101749223,MYO10
101749229,PLA2G4B
101749238,H2AC32
101749263,NA
101749281,NA
101749287,NA
101749299,NA
101749300,HHLA1
101749333,KRT18
101749352,MROH1
101749360,SVBP
101749375,NRIP1
101749377,HNRNPL
101749378,ARHGAP30
101749384,AQP10
101749459,ARID5A
101749460,NA
101749463,ACTL7A
101749472,NA
101749501,FAM196B
101749502,NA
101749507,CLDN34
101749516,GPR171
101749520,KCNJ13
101749531,IQGAP3
101749541,NA
101749600,CCDC173L
101749604,TMCO7
101749610,TUFT1
101749622,SERPINB6
101749626,CHUK
101749627,P2RY14
101749628,NA
101749629,VASN
101749632,CEP112
101749641,NA
101749643,ZNF385A
101749651,BORCS6
101749664,NA
101749669,C19orf71
101749694,NA
101749716,NA
101749756,P2RY12
101749773,KLF8
101749776,MCRIP1
101749783,ITGA2B
101749800,LRRC26
101749834,NA
101749861,CUX1
101749866,LRTM2
101749876,ARL14
101749881,NA
101749883,POLR1B
101749931,LIM2
101749950,BICRA
101749956,TMEM71
101750033,ANGPTL7
101750035,NA
101750075,TMED6
101750076,GPR82
101750093,NPAS4
101750113,OR14J1L16
101750143,NA
101750144,PHF13
101750157,IPO4
101750166,GLOD4
101750175,PTCHD3
101750199,PALM
101750205,FAM83H
