"","Sacral_1","Free_1","Free_2","Sacral_2","Pygo_1","Sacral_3","Sacral_4","Free_3","Pygo_2","Free_4","Pygo_3","Pygo_4"
"TTR",11.171447797724,23.7810932463975,6.81445195836705,35.4352096579295,22.8056514971172,42.3086740285312,11.9297551873253,55.8629363893471,17.9694357914308,21.9215847783497,43.7285265136602,18.300248556174
"TTYH3",3591.62046696828,4758.38056684735,4540.12861726204,4019.25750396643,5976.42220115631,3915.77911995642,3625.45260142817,4942.75261172943,6281.60134023302,4983.17479438759,3790.08594225128,3218.69077546825
"TUB",1274.47600292368,1677.64803265495,2119.29455905215,1032.14472386607,1055.76751342537,1517.54533423389,1518.65783534652,1712.75762969738,1043.08296332163,1997.85352184505,1030.98410587976,1595.3510800147
"TUBA1A",1754.84825822582,5894.4682487548,3468.55604680883,2818.98401938295,3369.87038592697,2324.75029925192,2793.9486648716,3738.34770317511,3480.0807316071,3643.96525156477,2812.08062810923,1992.57412220459
"TUBA4AL",57.7191469549075,137.281765558749,120.956522261015,124.400204118263,170.371631772582,37.8551293939489,76.3504331988822,134.071047334433,272.96428654602,96.6542601590874,158.095442010925,54.900745668522
"TUBA5",1237.23784359794,490.75528790293,589.45009439875,2284.44011198992,1958.60301092889,2340.33770547296,2300.05680011633,903.862310779636,2107.55811210924,706.472891265907,2093.92367344258,1481.24364784091
"TUBA8A",2.79286194943101,191.329704755107,4.2590324739794,21.8642782995735,61.709409933376,13.3606339037467,14.3157062247904,2.23451745557388,23.1035603032682,100.64000284606,10.9321316284151,30.1415858572278
"TUBA8B",0,36.7525986535234,17.0361298959176,7.53940631019777,2.68301782319026,8.90708926916445,2.38595103746507,0,12.8353112795934,11.957228060918,4.20466601092887,0
"TUBAL3",7.44763186514935,111.338754744497,107.327618344281,10.5551688342769,131.467873336323,11.1338615864556,2.38595103746507,46.9248665670516,34.2274967455825,125.550894639639,65.5927897704903,35.5240119031613
"TUBB1",1231.65211969907,1706.83391982098,918.247401389959,10401.3649455488,4189.53233091159,7272.63838827278,7794.90203939838,1484.83684922885,6514.34831810298,776.223388287929,4495.62889888515,4694.55199726323
"TUBB2B",195.50033646017,595.608289943865,314.31659657968,226.182189305933,213.299916943626,120.24570513372,144.350037766637,497.180133865189,284.943910406974,409.535061086442,236.302229814202,224.985408720022
"TUBB3",2122.57508156757,5337.77447503231,1497.47581785116,3026.31769291338,3262.54967299936,2979.42136053551,4007.20476742258,2555.17071044874,4532.57625653376,1943.04955989918,3406.62040205457,3407.07568707593
"TUBB4B",486.888933184139,724.242385231197,323.686468022435,781.836434367509,539.286582461243,641.310427379841,740.837797132904,597.733419366014,733.324117774104,1040.27884129987,963.709449704897,1236.88150535553
"TUBB6",1271.68314097425,2158.67469150254,1903.78751586879,1251.54144749283,1385.77870567777,1100.02552474181,1099.9234282714,1808.84188028706,1185.12707481579,2024.75728498212,1180.67021586883,894.559208834153
"TUBD1",1334.98801182802,1675.4861150871,1586.06369330993,1346.53796700132,1554.80882853876,1485.25713563317,1142.87054694577,1582.03835854631,1650.62103055571,2002.83570020377,1424.5408445027,1380.05403817736
"TUBE1",2131.884621399,1266.88369476263,1658.46724536758,3330.90970784537,818.32043607303,1889.41631122151,2259.49563247942,1255.79881003252,879.646666361469,941.631709797295,1406.8812472568,2326.28453705247
"TUBG1",634.910616503982,836.662098759621,707.851197175377,780.328553105469,1061.13354907175,720.360844643675,743.223748170369,802.191766551024,1233.04557025961,708.465762609393,963.709449704897,827.817125864577
"TUBGCP2",1301.47366843485,1544.69010223191,1400.36987744443,1361.61677962172,1349.5579650647,1532.01935429629,1459.00905940989,1263.61962112703,1371.66693207922,1216.64795519841,1338.76565787975,1019.43149309981
"TUBGCP3",1102.2495160421,1132.84480555566,1241.93386941239,1261.34267569609,845.150614304932,1425.13428306631,1291.99248678733,1119.49324524252,1111.53795681279,1098.07211026097,928.390255213094,972.066143895596
"TUBGCP4",1681.30289355747,1256.07410692336,1286.22780714178,1499.58791509834,1667.49557711275,1565.42093905565,1404.13218554819,1601.03175691869,1545.37147806305,1341.20241416631,1271.49100170489,1186.28670052375
"TUBGCP5",1157.17580104758,1325.2554690947,1448.071041153,1338.99856069112,893.444935122357,1283.73424091833,1346.86936064903,1117.25872778694,896.76041473426,1072.16478279565,1022.5747738579,967.760203058849
"TUBGCP6",1248.40929139566,1053.93481432898,1116.7183146774,1078.8890429893,949.788309409353,977.553047290799,1025.95894610998,928.442002790949,1005.43271690148,1025.33230622372,1045.27997031692,1123.85055839092
"TUFT1",38.1691133088904,103.772043257007,136.289039167341,42.2206753371075,77.8075168725176,41.1952878698856,14.3157062247904,94.9669918618901,86.4244292825957,185.337034944229,91.6617190382493,118.413373010538
"TULP1",24.2048035617354,8.64767027141727,17.0361298959176,13.570931358356,24.1471604087124,2.22677231729111,17.894632780988,4.46903491114777,11.9796238609539,0,4.20466601092887,13.9943077194272
"TULP3",1101.31856205896,1450.64668803025,1555.39865949728,1127.89518400559,1026.25431737028,1097.79875242452,965.11719465462,1165.30085308178,784.665362892478,1177.78696400043,718.997887868836,690.027019088679
"TULP4",3318.85094990718,3572.56878087926,3983.04716966554,4480.66917015053,3713.29666729532,3975.90197252328,3778.15346782594,3680.25024933019,3656.35233984685,3940.90308174423,3621.05836861194,5244.63593915763
"TUSC1",109.852570010953,123.229301367696,166.954072979993,46.7443191232262,118.052784220372,126.926022085593,78.7363842363473,111.725872778694,100.971115399468,221.208719126984,210.233300546443,99.036639245177
"TUSC2",408.688798600071,313.478047338876,290.466014725395,366.415146675612,499.041315113389,299.500876675655,281.542222420878,442.434456203629,395.327587411477,307.898622568639,405.329803453543,350.934178194866
"TUSC3",318.386262235135,62.6956094677752,30.6650338126517,25.6339814546724,12.0735802043562,38.9685155525945,31.0173634870459,37.986796744756,18.8251232100704,39.8574268697268,11.7730648306008,39.8299527399081
"TVP23A",123.816879758108,158.900941237292,161.843234011217,98.7662226635908,57.6848831985906,207.089825508074,135.999209135509,158.650739345746,138.621361819609,200.283570020377,110.162249486336,217.450012255715
"TWF1",1556.55505981621,1493.88503938733,1532.39988413779,914.529985426989,426.599833887252,1114.4995448042,944.836610836167,968.663316991279,487.74182862455,1241.55884699199,576.039243497255,843.964404002378
"TWF2",1044.5303690872,1774.9343232084,1408.03613589759,1121.86365895743,2799.72909849904,1225.83816066876,1284.83463367494,1728.3992518864,2522.56651014943,1493.65707194301,2051.0360801311,1428.49587259076
"TWIST1",206.671784257895,356.716398695962,555.377834606914,307.607777456069,273.667817965407,379.664680098135,275.577344827215,542.987741704454,361.100090665895,406.545754071213,422.989400699444,499.489137062632
"TWIST2",51.2024690729018,243.215726383611,304.094918642129,33.1733877648702,37.5622495246637,46.7622186631134,39.3681921181736,278.197423218949,77.8675550962001,311.884365255612,52.9787917377037,61.3596569236423
"TWISTNB",71.6834567020625,110.25779596057,88.5878754587716,89.7189350913534,76.4660079609225,150.30713141715,115.718625317056,109.49135532312,96.6926783062705,89.6792104568852,64.7518565683046,163.625751796379
"TWSG1",6577.18989091002,6758.1543171126,10010.4299268412,8064.14898938753,3314.86852055157,8381.57100228375,7923.74339542149,6761.64982056657,3423.60536197689,9543.86086395607,4236.62147261193,5694.60675659768
"TXK",43.7548372077524,183.762993267617,119.252909271423,141.740838631718,135.492400071108,76.8236449465434,77.5434087176147,81.5598871284468,153.168047936482,107.615052548262,100.911984262293,157.166840541259
"TXLNA",1100.38760807582,1236.61684881267,1567.32395042442,1172.37768123575,1628.59181867649,1205.79720981314,1264.55404985649,1732.86828679755,1485.47335875828,1291.38063057915,1419.49524528959,1401.58374236109
"TXLNB",40.0310212751778,873.414697413144,110.734844323464,77.655884995037,605.020519129404,32.2881986007211,32.2103390057784,98.3187680452509,177.127295658389,636.722394243885,153.049842797811,196.996793281167
"TXLNG",1375.94998708634,821.528675784641,988.095533963222,1072.85751794114,892.103426210762,1030.99558290579,992.555631585469,818.950647467829,854.831731220922,900.777847255825,1156.28315300544,1042.03768249273
"TXN",4396.89566238755,3609.32137953278,2201.06798255256,1930.84195604165,1113.45239662396,2093.16597825365,1969.60258142741,1243.50896402687,1067.89789846217,4236.84447625195,2369.74976375951,1824.64242957147
"TXN2",904.887271615646,733.971014286541,578.376609966403,625.016783115395,755.269517228059,917.430194723939,659.715461859092,997.712043913739,845.419169615887,1012.37864249106,1113.39555969396,1398.35428673353
"TXNDC11",1816.2912211133,1380.38436707498,1725.75995845645,2165.3174922888,1713.10688010698,1913.91080671171,1814.51576399218,1575.33480617959,1707.95208760456,1379.06696969255,1580.95442010925,1287.4763101873
"TXNDC12",922.575397295376,1210.67383799842,1087.75689385434,847.429269266229,618.435608245355,931.904214786331,899.503541124331,963.077023352344,652.033813003346,931.667353079863,607.994705180314,723.398060573467
"TXNDC15",395.655442836059,220.51559192114,327.093694001618,394.310950023343,390.379093274183,426.426898761248,362.66455769469,346.350205613952,318.315719733917,294.944958835978,404.488870251357,359.54605986836
"TXNDC16",687.044039560028,871.25277984529,1100.53399127628,900.205113437614,1350.8994739763,846.173480570623,929.327929092644,1225.63282438228,1343.42924726411,1136.93310145896,1488.45176786882,1291.78225102405
"TXNDC5",6129.40102501792,4266.5443201605,5937.09126872729,6354.21163823468,5781.90340897501,6856.23196493934,7204.37915762578,6157.21284883384,5253.06506302827,5272.14113919311,5624.16125621845,6414.77536154358
"TXNDC9",1216.75685596878,1853.84431443508,1519.62278671585,1463.39876480939,1035.64487975144,1745.78949675623,1500.76320256553,1226.75008311006,1157.74507741933,2007.81787856249,1559.93109005461,1839.71322250008
"TXNL1",1102.2495160421,751.266354829375,547.711576153751,686.839914859017,406.477200213325,1282.62085475968,1307.50116853086,412.268470553382,352.543216479499,1270.45548147254,1061.25770115845,800.90499563491
"TXNL4A",181.536026713015,220.51559192114,170.361298959176,131.939610428461,84.5150614304932,101.318140436746,100.209943573533,178.761396445911,65.8879312352462,196.297827333404,134.549312349724,110.877976546231
"TXNL4B",94.0263522975106,114.581631096279,137.140845662137,91.226816353393,85.8565703420884,67.916555677379,59.6487759366267,93.8497331341031,105.249552492666,144.48317240276,128.662779934423,137.790106775898
"TXNRD1",1361.98567733919,1325.2554690947,1188.27006024025,1475.4618149057,1006.13168369635,1092.23182163129,1133.32674279591,1213.34297837662,1061.9080865317,1012.37864249106,900.639459540963,1343.45354106501
"TXNRD2",1021.2565195086,557.774732506414,572.413964502832,791.637662570766,457.45453885394,779.37031105189,744.416723689102,454.724302209285,410.72996094699,637.718829915628,690.40615899452,530.707208129046
