pathway	gene_symbol	NES	padj
HALLMARK_INFLAMMATORY_RESPONSE	ITGB8	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	CMKLR1	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	RGS1	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	AHR1A	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	PTGER2	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	RGS16	-1.594187536751527	0.007953360837048179
HALLMARK_INFLAMMATORY_RESPONSE	TLR2A	-1.594187536751527	0.007953360837048179
HALLMARK_FATTY_ACID_METABOLISM	CPOX	1.305428999173231	0.0456515224628208
HALLMARK_FATTY_ACID_METABOLISM	BLVRA	1.305428999173231	0.0456515224628208
HALLMARK_FATTY_ACID_METABOLISM	NSDHL	1.305428999173231	0.0456515224628208
HALLMARK_FATTY_ACID_METABOLISM	ACAT2	1.305428999173231	0.0456515224628208
HALLMARK_FATTY_ACID_METABOLISM	DHCR24	1.305428999173231	0.0456515224628208
HALLMARK_FATTY_ACID_METABOLISM	UGDH	1.305428999173231	0.0456515224628208
HALLMARK_FATTY_ACID_METABOLISM	CA2	1.305428999173231	0.0456515224628208
HALLMARK_FATTY_ACID_METABOLISM	ERP29	1.305428999173231	0.0456515224628208
HALLMARK_FATTY_ACID_METABOLISM	UROS	1.305428999173231	0.0456515224628208
HALLMARK_FATTY_ACID_METABOLISM	HMGCS1	1.305428999173231	0.0456515224628208
HALLMARK_FATTY_ACID_METABOLISM	CYP1A2	1.305428999173231	0.0456515224628208
HALLMARK_FATTY_ACID_METABOLISM	FASN	1.305428999173231	0.0456515224628208
HALLMARK_FATTY_ACID_METABOLISM	ALDH1A1	1.305428999173231	0.0456515224628208
HALLMARK_FATTY_ACID_METABOLISM	MDH2	1.305428999173231	0.0456515224628208
HALLMARK_FATTY_ACID_METABOLISM	PCBD1	1.305428999173231	0.0456515224628208
HALLMARK_FATTY_ACID_METABOLISM	ME1	1.305428999173231	0.0456515224628208
HALLMARK_FATTY_ACID_METABOLISM	ADIPOR2	1.305428999173231	0.0456515224628208
HALLMARK_FATTY_ACID_METABOLISM	IDH1	1.305428999173231	0.0456515224628208
HALLMARK_FATTY_ACID_METABOLISM	UROD	1.305428999173231	0.0456515224628208
HALLMARK_FATTY_ACID_METABOLISM	HMGCS2	1.305428999173231	0.0456515224628208
HALLMARK_FATTY_ACID_METABOLISM	ETFDH	1.305428999173231	0.0456515224628208
HALLMARK_FATTY_ACID_METABOLISM	EHHADH	1.305428999173231	0.0456515224628208
HALLMARK_FATTY_ACID_METABOLISM	TP53INP2	1.305428999173231	0.0456515224628208
HALLMARK_FATTY_ACID_METABOLISM	BPHL	1.305428999173231	0.0456515224628208
HALLMARK_FATTY_ACID_METABOLISM	GRHPR	1.305428999173231	0.0456515224628208
